Current Round,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Round Progress,Not Started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,,,,,,,,,,,
Round,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,,,,,,,,,,,
Overall Round,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,7,7,,8,8,,9,9,,10,10,,11,11,,12,12,,,,,,,,,,,,
PlayerID,Player Name,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Points,Firsts + Top4s,Top4s,Firsts,Seconds,3rds,4ths,5ths,6ths,7ths,8ths
234,100T Kiyoon#eprod,30,2,,30,6,,30,8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,0,1,0,0,0,1,0,1
169,1vs9peter#eprod,22,1,,22,2,,9,6,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,2,1,1,0,0,0,1,0,0
21,300JAX#eprod,3,3,,3,6,,2,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,0,0,1,0,0,1,1,0
3,Achector1#eprod,1,5,,1,2,,15,7,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,1,0,1,0,0,1,0,1,0
16,AdminK#eprod,2,5,,2,2,,17,6,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,1,0,1,0,0,1,1,0,0
95,Aesah#eprod,12,8,,12,4,,9,7,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,1,0,0,0,1,0,0,1,1
176,aka Carlos#eprod,22,3,,22,7,,28,4,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2,2,0,0,1,1,0,0,1,0
229,Akunaro#eprod,29,4,,29,3,,10,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3,3,0,0,2,1,0,0,0,0
201,Altenahue TFT#eprod,26,7,,26,5,,13,7,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,1,0,2,0
53,AnkallE#eprod,7,3,,7,2,,25,7,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,2,0,1,1,0,0,0,1,0
99,Appies#eprod,13,4,,13,1,,30,2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4,3,1,1,0,1,0,0,0,0
162,Ariazz#eprod,21,6,,21,6,,22,2,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,1,0,1,0,0,0,2,0,0
228,Ariz#eprod,29,1,,29,2,,11,1,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,23,5,3,2,1,0,0,0,0,0,0
59,ArtixRx#eprod,8,1,,8,1,,2,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4,2,2,0,0,0,1,0,0,0
98,Aya#eprod,13,6,,13,4,,30,4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2,2,0,0,0,2,0,1,0,0
116,barbacoa#eprod,15,7,,15,7,,18,3,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,1,0,0,1,0,0,0,2,0
56,BBL Akeon#eprod,7,7,,7,4,,15,5,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,0,0,0,1,1,0,1,0
52,BBL Coqui#eprod,7,5,,7,8,,29,5,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,2,0,0,1
23,BBL HermitMx#eprod,3,1,,3,2,,13,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,23,5,3,2,1,0,0,0,0,0,0
125,Becker#eprod,16,4,,16,3,,8,4,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,3,0,0,1,2,0,0,0,0
4,BeTo1#eprod,1,6,,1,7,,29,2,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,1,0,1,0,0,0,1,1,0
164,biribiri#eprod,21,1,,21,8,,10,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,2,2,0,0,0,0,0,0,1
211,BiterLife#eprod,27,4,,27,5,,10,2,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2,2,0,1,0,1,1,0,0,0
219,BJ IOrigins#eprod,28,7,,28,5,,15,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,1,1,0,0,0,1,0,1,0
191,bloom#eprod,24,1,,24,3,,24,5,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,2,1,0,1,0,1,0,0,0
170,Breiiner#eprod,22,7,,22,5,,14,7,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,1,0,2,0
212,bublz#eprod,27,8,,27,1,,14,8,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,1,1,0,0,0,0,0,0,2
184,cailul#eprod,23,7,,23,7,,14,1,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,1,1,0,0,0,0,0,2,0
86,Cane Rack#eprod,11,1,,11,3,,23,5,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,2,1,0,1,0,1,0,0,0
30,casparwu#eprod,4,7,,4,3,,24,6,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,0,0,1,0,0,1,1,0
85,catge#eprod,11,8,,11,2,,17,2,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,2,0,2,0,0,0,0,0,1
124,cats#eprod,16,3,,16,1,,18,7,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,2,1,0,1,0,0,0,1,0
148,ccasely#eprod,19,4,,19,3,,7,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,19,4,3,1,0,1,1,0,0,0,0
145,cecelo#eprod,19,3,,19,5,,21,8,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,0,0,1,0,1,0,0,1
20,Cesar Baker#eprod,3,7,,3,7,,17,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,1,1,0,0,0,0,0,2,0
246,Chabo#eprod,31,2,,31,2,,30,6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2,2,0,2,0,0,0,1,0,0
126,Chandler#eprod,16,2,,16,7,,5,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,2,0,1,1,0,0,0,1,0
231,ChangoEstudi#eprod,29,5,,29,6,,1,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,0,1,2,0,0
226,Christian Bale#eprod,29,2,,29,7,,7,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,0,1,0,0,0,0,2,0
111,Cleridan#eprod,14,4,,14,2,,11,3,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,3,0,1,1,1,0,0,0,0
14,Colapintangui#eprod,2,6,,2,7,,28,2,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,1,0,1,0,0,0,1,1,0
31,CookiesOP#eprod,4,8,,4,8,,3,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,3
36,Cool Guy Dom#eprod,5,5,,5,7,,18,4,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,0,0,0,1,1,0,1,0
240,CSant#eprod,30,7,,30,4,,17,7,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,1,0,0,0,1,0,0,2,0
152,Cz1#eprod,19,8,,19,2,,18,8,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,1,0,1,0,0,0,0,0,2
5,Daeyle#eprod,1,2,,1,3,,20,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4,3,1,1,1,0,0,0,0,0
42,Darkbloom#eprod,6,4,,6,2,,13,3,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,3,0,1,1,1,0,0,0,0
222,Dasly#eprod,28,8,,28,6,,26,2,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,0,1,0,0,0,1,0,1
130,DavidAs#eprod,17,2,,17,2,,27,7,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2,2,0,2,0,0,0,0,1,0
134,death#eprod,17,3,,17,4,,14,6,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,2,0,0,1,1,0,1,0,0
139,Detetive Aline#eprod,18,3,,18,4,,11,2,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,3,0,1,1,1,0,0,0,0
192,Diegots#eprod,24,5,,24,2,,16,4,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2,2,0,1,0,1,1,0,0,0
26,Distanz#eprod,4,1,,4,5,,15,6,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,1,1,0,0,0,1,1,0,0
195,Dl rysord TFT#eprod,25,5,,25,7,,17,3,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,1,0,0,1,0,1,0,1,0
79,Dokdok#eprod,10,5,,10,7,,19,8,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,0,0,0,0,1,0,1,1
132,Dominus#eprod,17,6,,17,8,,22,8,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,1,0,2
233,Doublepaw#eprod,30,3,,30,8,,23,1,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,2,1,0,1,0,0,0,0,1
127,Drakray#eprod,16,1,,16,5,,14,5,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2,1,1,0,0,0,2,0,0,0
