Current Round,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Round Progress,Not Started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,,,3,3,,3,3,,3,3,,3,3,,3,3,,3,3,,3,3,,,,,,,,,,,,
Round,,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,7,7,,,,,,,,,,,,
Overall Round,,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,7,7,,,,,,,,,,,,
Player ID,Player Name,Prior Day Points,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Day 3 Points,Total Points,Top 4s + Firsts,Firsts,Seconds,Thirds,Fourths,Fifths,Sixths,Sevenths,Eighths
22,Marcel P#eprod,62,3,1,,3,1,,1,3,,1,4,,1,,,,,,,,,27,89,6,2,0,1,1,0,0,0,0
21,CTG robinsongz#eprod,63,3,3,,3,3,,2,1,,2,4,,2,,,,,,,,,25,88,5,1,0,2,1,0,0,0,0
29,Mecmeno#eprod,68,4,2,,4,2,,2,2,,2,6,,3,,,,,,,,,24,92,3,0,3,0,0,0,1,0,0
13,Quintanilha#eprod,67,2,2,,2,4,,3,1,,3,5,,4,,,,,,,,,24,91,4,1,1,0,1,1,0,0,0
31,Cambulee#eprod,62,4,3,,4,1,,3,5,,3,3,,4,,,,,,,,,24,86,4,1,0,2,0,1,0,0,0
2,TL VCLF#eprod,72,1,1,,1,5,,4,5,,4,4,,3,,,,,,,,,21,93,3,1,0,0,1,2,0,0,0
10,wasianiverson#eprod,70,2,1,,2,5,,4,2,,4,7,,2,,,,,,,,,21,91,3,1,1,0,0,1,0,1,0
3,BrosephTFT#eprod,66,1,5,,1,2,,3,7,,3,1,,1,,,,,,,,,21,87,3,1,1,0,0,1,0,1,0
23,VIT MILK#eprod,64,3,4,,3,5,,3,4,,3,2,,1,,,,,,,,,21,85,3,0,1,0,2,1,0,0,0
30,bloom#eprod,60,4,4,,4,4,,2,5,,2,2,,2,,,,,,,,,21,81,3,0,1,0,2,1,0,0,0
6,met zauh#eprod,60,1,2,,1,4,,1,5,,1,6,,3,,,,,,,,,19,79,2,0,1,0,1,1,1,0,0
7,J or C#eprod,58,1,3,,1,6,,4,7,,4,1,,4,,,,,,,,,19,77,3,1,0,1,0,0,1,1,0
17,Xbmots#eprod,69,3,8,,3,4,,1,4,,1,2,,4,,,,,,,,,18,87,3,0,1,0,2,0,0,0,1
12,STR Deleted#eprod,64,2,3,,2,7,,4,6,,4,2,,3,,,,,,,,,18,82,2,0,1,1,0,0,1,1,0
5,Aya#eprod,62,1,8,,1,8,,1,1,,1,1,,2,,,,,,,,,18,80,4,2,0,0,0,0,0,0,2
27,Taliyent#eprod,62,4,5,,4,7,,2,3,,2,3,,1,,,,,,,,,18,80,2,0,0,2,0,1,0,1,0
14,ArtixRx#eprod,58,2,7,,2,1,,1,2,,1,8,,1,,,,,,,,,18,76,3,1,1,0,0,0,0,1,1
25,TT arkjow#eprod,67,4,1,,4,6,,2,7,,2,5,,2,,,,,,,,,17,84,2,1,0,0,0,1,1,1,0
32,Z10 bossoskills#eprod,65,4,8,,4,5,,4,3,,4,3,,3,,,,,,,,,17,82,2,0,0,2,0,1,0,0,1
24,dpei#eprod,63,3,5,,3,8,,4,1,,4,5,,4,,,,,,,,,17,80,2,1,0,0,0,2,0,0,1
9,casparwu#eprod,75,2,5,,2,2,,1,8,,1,5,,4,,,,,,,,,16,91,1,0,1,0,0,2,0,0,1
18,Kurumx#eprod,66,3,6,,3,2,,4,4,,4,8,,3,,,,,,,,,16,82,2,0,1,0,1,0,1,0,1
4,STR Drae#eprod,63,1,7,,1,1,,3,6,,3,7,,2,,,,,,,,,15,78,2,1,0,0,0,0,1,2,0
11,Darth Nub#eprod,63,2,6,,2,6,,1,6,,1,3,,1,,,,,,,,,15,78,1,0,0,1,0,0,3,0,0
20,Hanneko#eprod,69,3,2,,3,6,,4,8,,4,6,,1,,,,,,,,,14,83,1,0,1,0,0,0,2,0,1
26,grea#eprod,68,4,6,,4,3,,2,6,,2,7,,2,,,,,,,,,14,82,1,0,0,1,0,0,2,1,0
16,BBL ChoiYena#eprod,62,2,8,,2,3,,3,3,,3,8,,3,,,,,,,,,14,76,2,0,0,2,0,0,0,0,2
19,junglebook1#eprod,62,3,7,,3,7,,3,2,,3,6,,4,,,,,,,,,14,76,1,0,1,0,0,0,1,2,0
1,PockyGom#eprod,77,1,6,,1,3,,1,7,,1,7,,4,,,,,,,,,13,90,1,0,0,1,0,0,1,2,0
8,QualityTeammat#eprod,58,1,4,,1,7,,2,4,,2,8,,3,,,,,,,,,13,71,2,0,0,0,2,0,0,1,1
28,trevisan#eprod,62,4,7,,4,8,,2,8,,2,1,,2,,,,,,,,,12,74,2,1,0,0,0,0,0,1,2
15,Scoped#eprod,57,2,4,,2,8,,3,8,,3,4,,1,,,,,,,,,12,69,2,0,0,0,2,0,0,0,2
