Current Round,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Round Progress,Not Started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,,,3,3,,3,3,,3,3,,3,3,,3,3,,3,3,,3,3,,,,,,,,,,,,
Round,,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,7,7,,,,,,,,,,,,
Overall Round,,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,7,7,,,,,,,,,,,,
Player ID,Player Name,Prior Day Points,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Day 3 Points,Total Points,Top 4s + Firsts,Firsts,Seconds,Thirds,Fourths,Fifths,Sixths,Sevenths,Eighths
22,Marcel P#eprod,62,3,1,,3,1,,1,,,,,,,,,,,,,,,16,78,4,2,0,0,0,0,0,0,0
29,Mecmeno#eprod,68,4,2,,4,2,,2,,,,,,,,,,,,,,,14,82,2,0,2,0,0,0,0,0,0
31,Cambulee#eprod,62,4,3,,4,1,,3,,,,,,,,,,,,,,,14,76,3,1,0,1,0,0,0,0,0
2,TL VCLF#eprod,72,1,1,,1,5,,4,,,,,,,,,,,,,,,12,84,2,1,0,0,0,1,0,0,0
10,wasianiverson#eprod,70,2,1,,2,5,,4,,,,,,,,,,,,,,,12,82,2,1,0,0,0,1,0,0,0
13,Quintanilha#eprod,67,2,2,,2,4,,3,,,,,,,,,,,,,,,12,79,2,0,1,0,1,0,0,0,0
21,CTG robinsongz#eprod,63,3,3,,3,3,,2,,,,,,,,,,,,,,,12,75,2,0,0,2,0,0,0,0,0
6,met zauh#eprod,60,1,2,,1,4,,1,,,,,,,,,,,,,,,12,72,2,0,1,0,1,0,0,0,0
9,casparwu#eprod,75,2,5,,2,2,,1,,,,,,,,,,,,,,,11,86,1,0,1,0,0,1,0,0,0
25,TT arkjow#eprod,67,4,1,,4,6,,2,,,,,,,,,,,,,,,11,78,2,1,0,0,0,0,1,0,0
3,BrosephTFT#eprod,66,1,5,,1,2,,3,,,,,,,,,,,,,,,11,77,1,0,1,0,0,1,0,0,0
20,Hanneko#eprod,69,3,2,,3,6,,4,,,,,,,,,,,,,,,10,79,1,0,1,0,0,0,1,0,0
18,Kurumx#eprod,66,3,6,,3,2,,4,,,,,,,,,,,,,,,10,76,1,0,1,0,0,0,1,0,0
4,STR Drae#eprod,63,1,7,,1,1,,3,,,,,,,,,,,,,,,10,73,2,1,0,0,0,0,0,1,0
30,bloom#eprod,60,4,4,,4,4,,2,,,,,,,,,,,,,,,10,70,2,0,0,0,2,0,0,0,0
14,ArtixRx#eprod,58,2,7,,2,1,,1,,,,,,,,,,,,,,,10,68,2,1,0,0,0,0,0,1,0
1,PockyGom#eprod,77,1,6,,1,3,,1,,,,,,,,,,,,,,,9,86,1,0,0,1,0,0,1,0,0
26,grea#eprod,68,4,6,,4,3,,2,,,,,,,,,,,,,,,9,77,1,0,0,1,0,0,1,0,0
23,VIT MILK#eprod,64,3,4,,3,5,,3,,,,,,,,,,,,,,,9,73,1,0,0,0,1,1,0,0,0
7,J or C#eprod,58,1,3,,1,6,,4,,,,,,,,,,,,,,,9,67,1,0,0,1,0,0,1,0,0
12,STR Deleted#eprod,64,2,3,,2,7,,4,,,,,,,,,,,,,,,8,72,1,0,0,1,0,0,0,1,0
16,BBL ChoiYena#eprod,62,2,8,,2,3,,3,,,,,,,,,,,,,,,7,69,1,0,0,1,0,0,0,0,1
8,QualityTeammat#eprod,58,1,4,,1,7,,2,,,,,,,,,,,,,,,7,65,1,0,0,0,1,0,0,1,0
17,Xbmots#eprod,69,3,8,,3,4,,1,,,,,,,,,,,,,,,6,75,1,0,0,0,1,0,0,0,1
11,Darth Nub#eprod,63,2,6,,2,6,,1,,,,,,,,,,,,,,,6,69,0,0,0,0,0,0,2,0,0
27,Taliyent#eprod,62,4,5,,4,7,,2,,,,,,,,,,,,,,,6,68,0,0,0,0,0,1,0,1,0
15,Scoped#eprod,57,2,4,,2,8,,3,,,,,,,,,,,,,,,6,63,1,0,0,0,1,0,0,0,1
32,Z10 bossoskills#eprod,65,4,8,,4,5,,4,,,,,,,,,,,,,,,5,70,0,0,0,0,0,1,0,0,1
24,dpei#eprod,63,3,5,,3,8,,4,,,,,,,,,,,,,,,5,68,0,0,0,0,0,1,0,0,1
19,junglebook1#eprod,62,3,7,,3,7,,3,,,,,,,,,,,,,,,4,66,0,0,0,0,0,0,0,2,0
28,trevisan#eprod,62,4,7,,4,8,,2,,,,,,,,,,,,,,,3,65,0,0,0,0,0,0,0,1,1
5,Aya#eprod,62,1,8,,1,8,,1,,,,,,,,,,,,,,,2,64,0,0,0,0,0,0,0,0,2
